Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Vandalism,2011,7/5/11,10:40 AM,7/5/11,11:37 AM,PacifiCorp,West Valley Substation Utah,WECC,0,0,vandalism
Vandalism,2011,7/1/11,4:38 PM,7/1/11,10:38 PM,Dayton Power & Light,Greene County Ohio,RFC,N/A,0,vandalism
Vandalism,2011,7/1/11,8:00 AM,7/1/11,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,vandalism
Vandalism,2011,6/30/11,10:31 PM,6/30/11,10:31 PM,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0,vandalism
Public Appeal to Reduce Electricity Usage,2011,6/29/11,11:30 AM,6/29/11,6:04 PM,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,6/27/11,3:00 PM,6/27/11,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,6/23/11,8:10 AM,6/23/11,9:00 AM,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0,vandalism
Vandalism,2011,6/22/11,8:12 PM,6/22/11,8:12 PM,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0,vandalism
Vandalism,2011,6/20/11,10:36 AM,6/20/11,10:36 AM,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0,vandalism
Suspected Physical Attack,2011,6/9/11,2:15 PM,6/9/11,2:15 PM,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0,"vandalism, physical"
Physical Attack,2011,5/24/11,9:00 AM,5/25/11,9:10 AM,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0,"vandalism, physical"
Vandalism,2011,5/13/11,6:00 AM,5/13/11,6:00 AM,PacifiCorp,"Salt Lake, Utah",WECC,0,0,vandalism
Vandalism,2011,5/11/11,3:55 PM,5/12/11,1:57 PM,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,0,0,vandalism
Vandalism,2011,5/11/11,1:35 PM,5/11/11,1:35 PM,PacifiCorp,"Green River, Wyoming",WECC,0,0,vandalism
Vandalism,2011,5/11/11,11:00 AM,5/11/11,11:30 AM,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NPCC,0,0,vandalism
Vandalism,2011,5/10/11,1:45 PM,5/10/11,3:00 PM,ISO New England,New Hampshire,NPCC,0,0,vandalism
Vandalism,2011,5/9/11,1:11 PM,5/9/11,1:11 PM,Public Service of New Hampshire,"Milton, New Hampshire",NPCC,0,0,vandalism
Vandalism,2011,5/8/11,7:35 PM,5/8/11,7:35 PM,"Castleton Power, LLC",New York,NPCC,UNK,0,vandalism
Vandalism,2011,5/6/11,6:56 AM,5/6/11,10:30 AM,PacifiCorp,"Alderwood Substation, Portland, Oregon",WECC,0,0,vandalism
Vandalism,2011,5/5/11,9:15 AM,5/5/11,9:15 AM,ISO New England,New Hampshire,NPCC,0,0,vandalism
Suspected Sabotage,2011,5/4/11,12:20 PM,5/4/11,3:40 PM,"ITC Holdings, Inc.",Michigan,RFC,0,0,vandalism
Suspected Physical Attack,2011,5/4/11,1:08 PM,5/4/11,1:25 PM,FirstEnergy Generation,Maryland,RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,5/3/11,12:00 PM,5/5/11,12:00 PM,New York Power Authority,"St. Lawrence Power Dam, New York",NPCC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,5/2/11,2:00 PM,5/2/11,2:00 PM,The United Illuminating Company,"West River Substation, New Haven, Connecticut",NPCC,0,0,"vandalism, physical"
Vandalism,2011,5/2/11,8:52 AM,5/2/11,10:46 AM,PacifiCorp,"N. Ogden Substation, Ogden, Utah",WECC,0,0,vandalism
Vandalism,2011,4/26/11,1:04 PM,4/26/11,2:00 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
Vandalism,2011,4/21/11,7:15 AM,4/21/11,4:50 PM,PacifiCorp,"Oquirrh Substation, Salt Lake City, Utah",WECC,0,0,vandalism
Vandalism,2011,4/19/11,2:01 PM,4/19/11,4:04 PM,Tacoma Power Water Rail (TPWR),"Graham, Washington",WECC,0,0,vandalism
Suspicious Activity,2011,4/11/11,5:40 PM,4/11/11,5:51 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
Vandalism,2011,4/6/11,10:50 AM,4/6/11,10:50 AM,Delmarva Power & Light Company,"Felton, Delaware",RFC,0,0,vandalism
Suspected Cyber Attack,2011,4/3/11,8:23 PM,4/5/11,3:00 PM,Entergy Corporation,Unknown,SERC,0,0,"vandalism, cyber"
Vandalism,2011,3/6/11,2:54 AM,3/8/11,8:00 AM,PacifiCorp,"Salt Lake City Region, Utah",WECC,UNK,0,vandalism
Vandalism,2011,2/25/11,10:30 AM,2/25/11,10:45 AM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
Vandalism,2011,2/19/11,4:34 PM,2/19/11,4:34 PM,Delmarva Power & Light Company,"Harrington, Delaware",RFC,0,0,vandalism
Suspected Cyber Attack,2011,2/17/11,1:00 PM,2/23/11,4:53 PM,City of Roseville (Roseville Electric),"Roseville, California",WECC,0,0,"vandalism, cyber"
Vandalism,2011,2/10/11,1:00 PM,2/10/11,1:00 PM,Tacoma Power - TPWR,"LaGrande, Washington",WECC,0,0,vandalism
Vandalism,2011,2/9/11,2:54 PM,2/9/11,5:00 PM,Tacoma Power - TPWR,"University Place, Washington",WECC,0,0,vandalism
Suspected Cyber Attack,2011,2/3/11,2:30 PM,2/3/11,2:30 PM,Potomac Electric Power Co/PEPCO Holdings Inc.,"Bowie, Maryland",RFC,N/A,0,"vandalism, cyber"
Vandalism,2011,1/27/11,9:30 AM,1/27/11,9:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,vandalism
Suspected Telecommunications Attack,2011,1/26/11,9:25 AM,1/27/11,5:00 PM,NV Energy,"Carson City, Nevada",WECC,0,0,"vandalism, cyber"
Vandalism,2011,1/26/11,9:33 AM,1/27/11,3:03 PM,ITC Transmission,Michigan,RFC,0,0,vandalism
Vandalism,2011,1/25/11,3:23 AM,1/25/11,11:00 AM,Atlantic City Electric,"Newark, Delaware",RFC,0,0,vandalism
Suspicious Activity,2011,1/24/11,1:20 PM,1/24/11,1:30 PM,El Paso Electric Company,"Newman Power Plant, Texas",WECC,0,0,vandalism
Vandalism,2011,1/23/11,7:00 AM,1/23/11,1:00 PM,PacifiCorp,"Franklin County, Idaho",WECC,0,0,vandalism
Vandalism,2011,1/18/11,2:00 PM,1/18/11,2:00 PM,National Grid,"Whitman, Auburn St Substation, Massachusetts",NPCC,0,0,vandalism
Electrical Fault at Generator,2011,1/11/11,11:08 PM,1/11/11,11:08 PM,New Athens Generating Co. LLC,"Athens, New York",NPCC,0,0,equipment failure
Ice Storm/Electrical System Separation,2010,2/1/10,2:32 p.m.,2/1/10,5:00 PM,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding"
Electrical System Separation,2009,8/29/09,10:54 p.m.,8/29/09,11:53 p.m.,Midwest ISO,Western South Dakota,RFC,84,0,islanding
Electrical System Separation,2009,7/2/09,10:44 p.m.,7/3/09,1:25 a.m.,ISO New England,Northern Maine,NPCC,0,0,islanding
Fuel Supply Deficiency,2009,6/16/09,11:00 p.m.,6/17/09,2:00 a.m.,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Made Public Appeals,2009,3/3/09,10:00 p.m.,3/4/09,8:17 p.m.,American Electric Power,"Roanoke, Virginia",RFC,350,0,public appeal
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,12/13/08,3:30 p.m.,12/21/08,9:17 a.m.,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0,public appeal
Load Shedding,2008,10/2/08,2:50 p.m.,10/2/08,9:50 a.m.,Dow Chemical Company,Louisiana,SERC,200,0,load shedding
Fuel Supply Deficiency,2008,9/8/08,10:03 p.m.,9/9/08,12:28 a.m.,"State of California, Department of Water Resources",A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Fuel Supply Curtailed,2008,8/31/08,7:30 a.m.,9/19/08,9:00 a.m.,Dow Chemical Company,"Plaquemine, Louisiana",SERC,200,0,fuel supply emergency
Fuel Supply Emergency-Low Coal Inventory Levels,2008,8/22/08,12:00 p.m.,8/23/08,12:00 p.m.,Mirant Chalk Point LLC,-,RFC,0,0,"fuel supply emergency, coal"
Declared Energy Emergency Alert 1/Made Public Appeals,2008,8/9/08,12:00 p.m.,8/9/08,8:46 p.m.,XCEL,Texas Panhandle and Eastern New Mexico,SPP,0,0,"fuel supply emergency, public appeal"
Heat Wave/Potential Fire Threat/Made Public Appeals,2008,7/7/08,12:15 p.m.,7/10/08,5:00 p.m.,California ISO,ISO Balancing Area,WECC,0,0,"severe weather, heat, public appeal"
Load Shedding,2008,5/8/08,10:21 a.m.,5/8/08,12:56 a.m.,California ISO,California,WECC,483,0,load shedding
Fuel Supply Deficiency,2008,2/25/08,8:00 a.m.,3/12/08,8:00 a.m.,Owensboro Municpal Utilities,Restricted Coal Capability,RFC,N/A,0,fuel supply emergency
Electrical System Separation,2008,2/9/08,11:59 a.m.,2/9/08,3:33 p.m.,Pacific Gas and Electric Company,"Near Arnold, California",WECC,0,0,islanding
Voltage Reduction,2007,12/11/07,8:57 p.m.,12/11/07,9:22 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,0,0,voltage reduction
Voltage Reduction,2007,12/4/07,2:16 p.m.,12/4/07,5:53 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,0,0,voltage reduction
Voltage Reduction/Made Public Appeal/Fuel Deficiency,2007,12/1/07,6:04 p.m.,12/2/07,10:00 p.m.,ISO New England,State of Maine,NPCC,0,0,"fuel supply emergency, public appeal, voltage reduction"
