Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather- Thunderstorms,2012,7-7-2012,6:00 PM,7-9-2012,7:01 PM,FirstEnergy Corp. Jersey Central Power & Light,Central and Northern New Jersey,RFC,N-A,95400,"severe weather, thunderstorm"
Winter Storm,2002,12-25-2002,10:00 AM,12-27-2002,8:30 AM,Metropolitan Edison Co.-First Energy,"Reading, York, Hanover, Hamburg Pennsylvania",MAAC,NA,95630,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,3-20-2012,8:00 AM,3-20-2012,1:00 PM,CenterPoint Energy,"Houston, Texas",TRE,N-A,96000,"severe weather, thunderstorm"
High Winds,2008,2-10-2008,11:00 a.m.,2-14-2008,5:05 p.m.,American Electric Power,Virginia and West Virginia Area of AEP,RFC,N-A,97342,"severe weather, wind"
Winter Storm,2010,2-5-2010,7:00 p.m.,2-12-2010,3:46 PM,Potomac Electric Power Co,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC,N-A,97651,"severe weather, winter storm"
Loss of Load,2007,6-29-2007,9:23 a.m.,6-29-2007,10:09 a.m.,Salt River Project,Metropolitan Phoenix Area,WECC,399,98700,load shedding
Severe Storm,2009,6-19-2009,12:01 a.m.,6-21-2009,11:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,75,99000,"severe weather, storm"
Hurricane Frances,2004,9-6-2004,1:00 p.m.,9-9-2004,12:00 p.m.,Southern Company,"Florida, Mississippi, Alabama, Georgia",SERC,"3,000",99000,"severe weather, hurricane-tropical storm"
Severe Weather- Storms and Wind,2013,4-18-2013,3:00 PM,4-21-2013,3:30 AM,Detroit Edison Co,"Southeast Michigan, Michigan",RFC,Unknown,99188,"severe weather, wind"
Severe Weather,2011,8-28-2011,7:00 AM,9-3-2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,UNK,99700,severe weather
Tropical Storm Gaston,2004,8-30-2004,6:58 p.m.,8-31-2004,3:35 p.m.,Dominion- Virginia Power-North Carolina Power,"Central Virginia, South to North Carolina and East to the Virginia Coast",SERC,150,99816,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2013,5-31-2013,7:30 PM,6-1-2013,8:00 PM,Ameren Missouri,St. Louis Metro Area Missouri,SERC,Unknown,100000,"severe weather, thunderstorm"
Severe Weather,2011,12-1-2011,3:29 AM,12-2-2011,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,100000,severe weather
Severe Weather,2011,8-28-2011,9:42 AM,8-30-2011,12:01 AM,Niagara Mohawk Power Corporation,Eastern New York,NPCC,N-A,100000,severe weather
Severe Thunderstorms,2011,6-9-2011,5:51 PM,6-10-2011,12:00 PM,ISO New England-Northeast Utilities,"Western, Massachusetts  Connecticut",NPCC,0,100000,"severe weather, thunderstorm"
Thunderstorms,2010,6-18-2010,7:00 p.m.,6-19-2010,5:00 AM,Consumers Energy,Southern Portion of Lower Michigan,RFC,N-A,100000,"severe weather, thunderstorm"
Shed Firm Load,2008,8-18-2008,7:22 p.m.,8-19-2008,6:44 p.m.,Puerto Rico Electric Power Authority,North Part of Island,PR,225,100000,load shedding
Tropical Storm Ernesto,2006,9-1-2006,8:00 p.m.,9-4-2006,5:00 p.m.,Atlantic City Electric,Southern New Jersey Counties,RFC,400,100000,"severe weather, hurricane-tropical storm"
Transmission Line Loss,2000,3-18-2000,4:00 p.m.,3-18-2000,5:10:00 PM,El Paso Elec. Co.,Texas,MAIN,400,100000,transmission interruption
Faulty Switch,2004,3-17-2004,1:27 p.m.,3-17-2004,2:06 p.m.,El Paso Electric Company,"El Paso, Texas",WECC,Approx. 300,100000,equipment failure
Load Shedding-Voltage Reduction,2008,6-4-2008,3:14 p.m.,6-4-2008,3:46 p..m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,90,100948,"load shedding, voltage reduction"
Severe Weather,2008,2-10-2008,4:00 a.m.,2-12-2008,8:43 p.m.,Allegheny Power,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,412,100969,severe weather
Unknown *,2003,8-14-2003,4:09 p.m.,8-16-2003,1:03 p.m.,Consumers Power,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",ECAR,"1,007",101000,unknown
Severe Weather,2010,8-12-2010,6:45 a.m.,8-12-2010,9:00 PM,Potomac Electric Power Co.,"District of Columbia, Maryland",RFC,N-A,101003,severe weather
Severe Weather- Snow-Ice,2014,2-5-2014,12:00 AM,2-9-2014,6:00 PM,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,Unknown,101580,"severe weather, winter storm"
Severe Weather High Wind,2000,5-18-2000,6:00 p.m.,NA,NA,Commonwealth Edison,Illinois,MAIN,NA,101830,"severe weather, wind"
Tropical Storm Fay,2008,8-19-2008,9:29 a.m.,8-22-2008,10:00 p.m.,Florida Power and Light,Florida,FRCC,N-A,101950,"severe weather, hurricane-tropical storm"
Severe Thunderstorm,2009,6-12-2009,10:00 p.m.,6-13-2009,6:00 p.m.,Southern Company,Georgia,SERC,290,102000,"severe weather, thunderstorm"
Winter Storm,2010,2-5-2010,11:30 p.m.,2-7-2010,2:38 AM,American Electric Power,"Indiana, Ohio, W. Virginia and Virginia",RFC,N-A,102225,"severe weather, winter storm"
Severe Thunderstorms,2011,6-24-2011,6:30 PM,6-25-2011,1:30 AM,Southern Company,North-North Central Alabama  Georgia,SERC,340,102275,"severe weather, thunderstorm"
Severe Thunderstorms,2007,4-16-2007,8:00 a.m.,4-16-2007,7:00 p.m.,Public Service New Hampshire Electric System Control Center,New Hampshire,NPCC,-,102568,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,7-18-2012,2:16 PM,7-19-2012,11:58 PM,Duke Energy Midwest,"Southeast Ohio, Northern Kentucky, Southern Indiana",RFC,480,103000,"severe weather, thunderstorm"
Severe Weather,2011,7-11-2011,9:00 AM,7-11-2011,10:25 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,103000,severe weather
Load Shedding,2007,10-26-2007,6:44 a.m.,10-26-2007,10:43 a.m.,City of Riverside,"Riverside, California",WECC,240,104000,load shedding
Loss of 300+ MW Load,2013,8-1-2013,11:19 PM,8-2-2013,12:49 AM,Florida Power & Light Co,Daytona Beach Florida,FRCC,297,104498,load shedding
Winter Storm,2010,2-6-2010,2:30 a.m.,2-7-2010,7:00 AM,Dominion,"Virginia, North Carolina",SERC,600,104736,"severe weather, winter storm"
Severe Weather- Heavy Winds,2013,11-2-2013,12:00 AM,11-4-2013,6:00 AM,Puget Sound Energy,"King, Whatcom, and Skagit, Washington",WECC,Unknown,105000,"severe weather, wind"
Severe Weather,2011,9-3-2011,2:00 PM,9-8-2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,UNK,105000,severe weather
Severe Weather,2011,4-19-2011,11:02 PM,4-21-2011,5:32 PM,Tennessee Valley Authority,"Memphis, Tennessee",SERC,300,105000,severe weather
Tropical Depression Ike,2008,9-14-2008,7:00 p.m.,9-14-2008,11:59 p.m.,Duquesne Light Company,Allegheny and Beaver Counties in Pennsylvania,RFC,600,105000,"severe weather, hurricane-tropical storm"
Tropical Storm Ernesto,2006,9-1-2006,10:00 a.m.,9-4-2006,2:00 p.m.,Delmarva Power,Southern Delmarva Peninsula,RFC,380,105000,"severe weather, hurricane-tropical storm"
Hurricane Wilma,2005,10-24-2005,4:00 a.m.,10-24-2005,4:00 p.m.,Seminole Electric Cooperative,"Florida counties of Collier, Charlotte and Lee",FRCC,280,105000,"severe weather, hurricane-tropical storm"
Strong Thunderstorm,2005,6-5-2005,2:00 p.m.,6-7-2005,6:00 p.m.,Consumers Energy,Portions of  the southern 2-3 of  Michigan's Lower Peninsula,ECAR,50-60,105000,"severe weather, thunderstorm"
Major Wind Storm,2003,11-13-2003,11:00 a.m.,11-14-2003,7:30 a.m.,Potomac Electric Power Company (Pepco),"Washington, D.C., Montgomery County, Prince Georges County, Md",MAAC,Est. 400,105000,"severe weather, wind"
Heavy Rain and Wind Storm,2004,12-1-2004,7:30 a.m.,12-2-2004,10:09 p.m.,Exelon (PECO Energy),"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",MAAC,-,105312,"severe weather, storm"
Shed Firm Load-Reduced Voltage,2006,8-24-2006,9:58 p.m.,8-24-2006,11:25 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,180,106000,"load shedding, voltage reduction"
Winter Storm,2002,12-25-2002,5:00 PM,12-26-2002,5:00 AM,PPL Corporation,Eastern Pennsylvania,MAAC,250,106000,"severe weather, winter storm"
Severe Weather,2011,6-22-2011,9:46 AM,6-22-2011,9:46 AM,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,UNK,106300,severe weather
Severe Weather- Thunderstorms,2014,4-29-2014,11:30 PM,4-29-2014,12:30 PM,Southern Company,"Mississippi, Alabama",SERC,355,106648,"severe weather, thunderstorm"
Hurricane Ike,2008,9-14-2008,7:30 a.m.,9-18-2008,3:00 p.m.,Ameren Corporation,Missouri and Illinois,MRO,N-A,107000,"severe weather, hurricane-tropical storm"
Major Storms,2007,7-19-2007,3:50 p.m.,7-19-2007,10:15 p.m.,Dominion- Virginia Power-North Carolina Power,"North, East and Central Virginia",SERC,72,107000,"severe weather, storm"
Severe Weather,2011,8-25-2011,12:30 AM,8-28-2011,8:00 PM,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",RFC,N-A,107833,severe weather
Severe Weather,2011,8-27-2011,11:00 PM,8-29-2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,108000,severe weather
Severe Storms,2008,6-4-2008,3:00 p.m.,6-7-2008,5:30 a.m.,Baltimore Gas and Electric Company,Entire BGE Service Territory,RFC,N-A,108000,"severe weather, storm"
Hurricane Claudette,2003,7-15-2003,8:24 a.m.,7-21-2003,10:30 a.m.,American Electric Power-Texas Central Company,Texas,ERCOT,230-300,108000,"severe weather, hurricane-tropical storm"
Wild Fire,2003,10-26-2003,1:44 a.m.,11-18-2003,10:54 a.m.,San Diego Gas and Electric Company,"San Diego County, California",WECC,N-A,108000,wild fire
Severe Weather- Thunderstorms,2012,6-29-2012,11:30 PM,6-30-2012,2:00 AM,Exelon Corporation-ComEd,Northeast Illinois,RFC,UNK,109000,"severe weather, thunderstorm"
Severe Storms,2008,5-30-2008,9:30 a.m.,5-30-2008,11:00 p.m.,Exelon Corporation-ComEd,Northern and Western Counties of Illinois,RFC,N-A,109000,"severe weather, storm"
Severe Weather,2006,11-15-2006,3:00 p.m.,11-15-2006,5:00 p.m.,Southern Company,Georgia,SERC,363,109000,severe weather
Severe Weather,2011,10-29-2011,2:00 PM,10-31-2011,14:00,Exelon Corporation-PECO,Southeast Pennsylvania,RFC,UNK,109335,severe weather
Ice Storm,2009,1-28-2009,9:00 a.m.,2-5-2009,8:00 a.m.,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,SERC,N-A,109527,"severe weather, winter storm"
Earthquake,2003,12-22-2003,11:15 a.m.,12-22-2003,11:16 a.m.,Pacific Gas and Electric,Central California Coast,WECC,220,109750,earthquake
Electric System Separation-Severe Lightning Storms,2008,7-24-2008,7:23 a.m.,7-24-2008,5:41 p.m.,ISO New England,"Bangor Hydro System, northern Maine",NPCC,180,110000,"severe weather, thunderstorm, islanding"
Severe Thunderstorms,2008,1-29-2008,4:00 p.m.,2-3-2008,8:00 a.m.,Entergy Corporation,"Arkansas, Mississippi, North Louisiana",SERC,N-A,110000,"severe weather, thunderstorm"
Severe Storm,2005,9-13-2005,6:30 p.m.,9-16-2005,8:00 p.m.,We Energies,Southeast Wisconsin and Fox Valley,MAIN,600,110000,"severe weather, storm"
Hurricane Jeanne,2004,9-26-2004,3:00 a.m.,9-30-2004,9:00 a.m.,Orlando Utilities Commission,"Orlando and St. Cloud, Florida",FRCC,350,110000,"severe weather, hurricane-tropical storm"
High Winds,2003,11-13-2003,6:00 a.m.,11-16-2003,4:00 p.m.,Baltimore Gas and Electric,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,375,110000,"severe weather, wind"
Major Windstorm,2007,1-16-2007,2:00 a.m.,1-17-2007,12:00 a.m.,Snohomish County PUD No. 1,"Snohomish County, Washington",WECC,260,110433,"severe weather, wind"
Severe Weather- Thunderstorms,2012,6-11-2012,7:50 PM,6-12-2012,3:00 PM,Southern Company,North-Central Alabama  North-Central Georgia,SERC,368,110591,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,7-5-2012,12:00 AM,7-6-2012,8:30 PM,Consumers Energy,Lower Peninsula Michigan,RFC,Unknown,111000,"severe weather, thunderstorm"
HIgh Winds,2006,12-14-2006,12:07 p.m.,12-17-2006,12:00 p.m.,PacifiCorp,State of Oregon Coastal area,WECC,N-A,111000,"severe weather, wind"
Severe Weather- High Winds,2012,4-16-2012,3:46 PM,4-19-2012,2:00 AM,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",RFC,218,111393,"severe weather, wind"
Severe Weather,2006,6-1-2006,6:00 p.m.,6-3-2006,9:00 a.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",RFC,N-A,111555,severe weather
Ice Storm,2009,1-27-2009,1:46 p.m.,2-3-2009,5:00 p.m.,Entergy Corporation,Northern Arkansas,SERC,N-A,111818,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,5-29-2012,8:35 PM,5-31-2012,10:00 AM,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",SPP,UNK,112000,"severe weather, thunderstorm"
Hurricane Ivan,2004,9-17-2004,4:30 a.m.,9-18-2004,12:00 p.m.,Progress Energy-Carolinas,Western North Carolina,SERC,400,112000,"severe weather, hurricane-tropical storm"
Severe Weather,2011,5-29-2011,6:30 PM,5-31-2011,10:00 PM,Consumers Energy,"Mid and Southern Lower Peninsula, Michigan",RFC,250,113000,severe weather
Hurricane Ike,2008,9-12-2008,8:00 p.m.,9-27-2008,7:00 p.m.,Texas New Mexico Power Company,Galveston and Brazoria Counties,TRE,650,113247,"severe weather, hurricane-tropical storm"
Interruption of Firm Power,2001,3-14-2001,3:00 p.m.,3-15-2001,3:00:00 PM,Reliant Energy,Texas Gulf Coast,ERCOT,NA,114000,load shedding
High Winds,2008,2-10-2008,2:06 p.m.,2-10-2008,11:36 p.m.,Dominion-Virginia Power,Dominion Service Territory,SERC,170,114618,"severe weather, wind"
Strong Thunderstorm-High Winds,2005,6-29-2005,4:30 p.m.,7-4-2005,11:30 p.m.,DTE Energy,Southeast  Michigan,ECAR,"1,000",114711,"severe weather, thunderstorm"
Winter Ice Storm,2005,1-5-2005,9:10 p.m.,1-16-2005,11:00 a.m.,American Electric Power,Indiana Michigan Region- Muncie District,ECAR,545,114791,"severe weather, winter storm"
Thunderstorms,2008,6-16-2008,4:15 p.m.,6-16-2008,11:19 p.m.,Dominion-Virginia Power,Northern Virginia,SERC,"800-1,000",115000,"severe weather, thunderstorm"
Brush Fire-Shed Firm Load,2008,11-15-2008,9:39 a.m.,11-15-2008,10:10 a.m.,Los Angeles Department of Water and Power,City of Los Angeles,WECC,211,115500,"wild fire, load shedding"
Severe Weather- Tornadoes,2006,4-8-2006,4:00 a.m.,4-8-2006,11:00 a.m.,Southern Company,North and Central Alabama and Northern Georgia areas,SERC,300,115589,"severe weather, tornado"
Severe Weather,2011,8-28-2011,12:30 PM,8-28-2011,12:31 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,N-A,116000,severe weather
Voltage Reduction,2005,4-23-2005,4:22 a.m.,4-23-2005,4:48 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,345,116552,voltage reduction
Heavy Snow Storm,2007,4-5-2007,9:20 p.m.,4-6-2007,1:10 p.m.,Central Maine Power Company,Southern and Coastal Maine,NPCC,-,117142,"severe weather, winter storm"
Major Storm,2011,2-19-2011,12:30 PM,2-20-2011,4:00 AM,Exelon Corporation-PECO,"Philadelphia area, Pennsylvania",RFC,UNK,118000,"severe weather, storm"
High Winds-Rain,2009,6-25-2009,3:30 p.m.,6-28-2009,8:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,N-A,118000,"severe weather, wind, rain"
Hurricane Humberto,2007,9-13-2007,4:00 a.m.,9-14-2007,7:00 a.m.,Entergy Corporation,"Between Galveston and Beaumont, Texas",SPP,N-A,118000,"severe weather, hurricane-tropical storm"
Severe Thunderstorm,2005,11-6-2005,7:30 a.m.,11-11-2005,11:30  p.m.,DTE Energy,Southeast Michigan,ECAR,212,118000,"severe weather, thunderstorm"
Severe Weather- Wind Storm,2013,1-31-2013,3:05 AM,1-31-2013,4:48 AM,Dominion Virginia Power,Central and Eastern Virginia,SERC,188,119000,"severe weather, wind"
Severe Weather- Thunderstorms,2012,9-8-2012,3:53 PM,9-9-2012,7:46 PM,Dominion Virginia Power,Virginia,SERC,475,119000,"severe weather, thunderstorm"
Strong Thunderstorms,2004,11-23-2004,10:00 p.m.,11-24-2004,1:00 a.m.,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,150,119000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2014,6-30-2014,5:55 PM,7-1-2014,2:53 AM,We Energies,Southeast  Wisconsin,MRO,424,120000,"severe weather, thunderstorm"
Severe Weather,2011,7-11-2011,2:27 PM,7-12-2011,3:50 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,UNK,120000,severe weather
Severe Thunderstorms,2010,4-16-2010,5:15 p.m.,4-18-2010,5:00 PM,Allegheny Power,Southwestern Pennsylvania,RFC,15,120000,"severe weather, thunderstorm"
Snow Storm,2006,10-12-2006,8:00 p.m.,10-21-2006,11:00 p.m.,New York State Electric and Gas,Western New York State,NPCC,353,120000,"severe weather, winter storm"
Cable Failure,2003,12-20-2003,3:51 p.m.,12-21-2003,11:45 p.m.,Pacific Gas and Electric,"San Francisco, California",WECC,150,120000,equipment failure
Severe Thunderstorms,2003,5-2-2003,8:00 p.m.,5-3-2003,8:00 a.m.,Southern Company,"Central Georgia, Alabama",SERC,130,120000,"severe weather, thunderstorm"
Severe Weather,2011,5-26-2011,7:56 PM,5-27-2011,6:00 PM,PPL Electric Utilities,Central Pennsylvania,RFC,150,120001,severe weather
Severe Weather- Snow-Ice,2014,2-12-2014,11:03 AM,2-15-2014,8:40 AM,South Carolina Electric and Gas,South Carolina,SERC,700,120124,"severe weather, winter storm"
Tornado,2004,6-12-2004,5:37 p.m.,6-12-2004,5:41 p.m.,Lincoln Electric System,"Lincoln, Nebraska",MAPP,428,120212,"severe weather, tornado"
Severe Weather- Thunderstorms,2012,4-20-2012,2:27 PM,4-21-2012,4:27 AM,CenterPoint Energy,"Metropolitan Houston, Texas",TRE,N-A,120377,"severe weather, thunderstorm"
Severe Weather,2011,6-30-2011,10:30 PM,7-1-2011,5:00 PM,Exelon Corporation-ComEd,Illinois,RFC,UNK,121000,severe weather
High Winds,2004,12-1-2004,10:00 a.m.,12-2-2004,11:59 p.m.,Baltimore Gas & Electric Company,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",MAAC,270,122000,"severe weather, wind"
Severe Storm with High Wind Gusts,2004,10-30-2004,10:00 a.m.,11-1-2004,6:00 p.m.,Consumers Energy,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",ECAR,60,122000,"severe weather, wind"
Severe Weather- Thunderstorms,2013,7-10-2013,5:30 PM,7-11-2013,8:00 PM,American Electric Power,AEP Ohio Power Footprint,RFC,N-A,122314,"severe weather, thunderstorm"
Severe Thunderstorms,2008,4-4-2008,12:31 p.m.,4-4-2008,5:00 p.m.,Entergy Corporation,"Arkansas, North Louisiana, Mississippi",SERC,N-A,122600,"severe weather, thunderstorm"
Severe Thunderstorms,2004,5-21-2004,11:00 a.m.,5-26-2004,9:00 p.m.,American Electric Power,"Northern and Southern Michigan, AEP Fort Wayne-Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",ECAR,303,122600,"severe weather, thunderstorm"
Equipment Failure,2013,7-18-2013,11:45 PM,7-19-2013,10:05 AM,San Diego Gas & Electric Co,Southern Orange County California,WECC,200,123000,equipment failure
Strong Thunderstorms,2005,5-29-2005,8:00 p.m.,5-30-2005,2:30 a.m.,CenterPoint Energy Houston Electric,"Houston, Texas and surrounding suburban areas",ERCOT,328,123000,"severe weather, thunderstorm"
Winter Storm,2010,11-22-2010,11:00 p.m.,11-24-2010,8:00 PM,Puget Sound Energy,"Puget Sound Region, Washington",WECC,420,123535,"severe weather, winter storm"
Strong Winds,2006,2-4-2006,1:34 a.m.,2-6-2006,12:01 a.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,150,123827,"severe weather, wind"
Severe Weather- Lightning Strike,2013,8-19-2013,7:06 PM,8-20-2013,6:02 AM,Southern California Edison Co,Central California,WECC,685,124000,"severe weather, thunderstorm"
Severe Weather,2010,7-25-2010,3:20 p.m.,7-27-2010,6:00 PM,Baltimore Gas and Electric,Central Maryland,RFC,480,124000,severe weather
Tripped line,2000,8-28-2000,11:00 p.m.,8-28-2000,N-A,Southern Indiana Gas & Elec,Indiana,ECAR,15,124000,equipment failure
Wind Storm,2008,9-14-2008,5:00 p.m.,9-19-2008,12:38 p.m.,Pennsylvania Electric Company,Western Pennsylvania,RFC,72,124596,"severe weather, wind"
Severe Weather- Winter Storm,2012,12-2-2012,5:20 AM,12-4-2012,9:00 AM,Pacific Gas & Electric Co,Northern California,WECC,250,125000,"severe weather, winter storm"
High Winds-Rain,2009,4-25-2009,2:30 p.m.,4-29-2009,1:00 a.m.,Detroit Edison,Western Region of Service Territory,RFC,N-A,125000,"severe weather, wind, rain"
Severe Weather,2008,6-8-2008,9:30 a.m.,6-9-2008,7:00 a.m.,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,N-A,125000,severe weather
Hurricane Rita,2005,9-23-2005,1:06 p.m.,10-6-2005,2:30 p.m.,Louisiana Generating,West and Southwest Louisiana,SPP,350,125000,"severe weather, hurricane-tropical storm"
Tropical Storm Gaston,2004,8-29-2004,9: 52 a.m.,8-29-2004,6:00 p.m.,South Carolina Electric and Gas Company,Southeastern South Carolina,SERC,450,125000,"severe weather, hurricane-tropical storm"
Severe Weather,2010,6-2-2010,8:18 p.m.,6-4-2010,8:00 AM,CPS Energy,"San Antonio, TX",TRE,N-A,126000,severe weather
Severe Wind Storm,2008,6-27-2008,4:30 p.m.,6-27-2008,5:30 p.m.,Omaha Public Power District,"Omaha, Nebraska (Metro Area)",MRO,650,126000,"severe weather, wind"
Severe Snow Storm,2006,2-12-2006,5:55 a.m.,2-12-2006,2:00 p.m.,Dominion- Virginia Power,Northern and Northwestern Virginia,RFC,250,126000,"severe weather, winter storm"
Severe Weather- Thunderstorms,2014,6-30-2014,11:20 PM,7-1-2014,5:00 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,127000,"severe weather, thunderstorm"
Severe Weather- Tornados,2013,5-31-2013,6:00 PM,6-4-2013,10:30 AM,Oklahoma Gas & Electric Co,"El Reno, S. Oklahoma City, Oklahoma",SPP,Unknown,127000,"severe weather, tornado"
Severe Weather- Winter Storm,2013,1-17-2013,6:07 PM,1-20-2013,7:30 PM,American Electric Power (AEP),"Southwest Virginia, Southern West Virginia",RFC,Unknown,127000,"severe weather, winter storm"
High Winds,2010,10-27-2010,5:00 p.m.,10-29-2010,4:00 AM,Commonwealth Edison,Northern Illinois,RFC,N-A,127000,"severe weather, wind"
Severe Storm,2004,8-3-2004,9:00 p.m.,8-4-2004,7:00 a.m.,Commonwealth Edison,Northern Illinois,MAIN,127,127000,"severe weather, storm"
Severe Thunderstorms,2004,5-21-2004,2:00 a.m.,5-24-2004,12:00 a.m.,Cleveland Electric Illuminating Company,Cleveland area,ECAR,177 on 5-21-04 between 3:00 p.m. and 5:00 p.m.,127000,"severe weather, thunderstorm"
Severe Weather,2010,7-15-2010,7:00 p.m.,7-19-2010,11:30 PM,Detroit Edison,Southeastern Michigan,RFC,540,127534,severe weather
Heavy Snow Storm,2007,4-16-2007,10:14 a.m.,4-18-2007,10:18 p.m.,Central Maine Power Company,Southern and Coastal Maine,NPCC,-,127545,"severe weather, winter storm"
Major Storm,2011,3-19-2011,11:56 PM,3-24-2011,7:10 PM,Pacific Gas and Electric,Northern and Central California,WECC,91,128000,"severe weather, storm"
CA ISO  Stage 2-Initiated interruption of Air Conditioner Cycling Interruptible Load Program,2005,7-21-2005,2:39 p.m.,7-21-2005,5:30 p.m.,Southern California Edison Company,Southern California,WECC,197,128050,load shedding
Ice Storm,2007,1-13-2007,7:30 a.m.,1-19-2007,4:00 p.m.,DTE Energy (Detroit Edison),Eastern and Lower Michigan,RFC,500,129607,"severe weather, winter storm"
Severe Weather- Winter Storm,2012,3-2-2012,9:00 PM,3-5-2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,130000,"severe weather, winter storm"
Shed Firm Load,2006,10-2-2006,3:05 p.m.,10-2-2006,8:39 p.m.,Southern California Edison Company,"Newhall, San Frenando, Saugus, and Santa Clarita, California",WECC,308,130000,load shedding
Winter Snow-Ice Storm,2006,2-12-2006,2:00 a.m.,2-14-2006,4:00 p.m.,Atlantic City Electric,Entire Atlantic City Electric territory Southern New Jersey,RFC,80,130000,"severe weather, winter storm"
Severe Storms,2003,7-5-2003,3:00 a.m.,7-5-2003,7:00 a.m.,Com Ed,Northern Illinois,MAIN,80,130000,"severe weather, storm"
Winter Storm,2002,12-11-2002,1:09 PM,12-13-2002,10:00 AM,Dominion-Virginia Power-North Carolina Power,Northern Virginia to Fredericksburg  Staunton to Harrisonburg,SERC,63,130000,"severe weather, winter storm"
Interruption of Firm Power,2001,3-6-2001,9:17 a.m.,3-6-2001,11:00:00 AM,New England,Boston & Northeast Massachusetts,NPCC,340,130000,load shedding
Severe Weather,2000,8-18-2000,6:30 p.m.,8-20-2000,12:00 p.m.,Duke Power,North Carolina,SERC,500,130000,severe weather
Interruption of Power,2001,5-8-2001,3:12 p.m.,5-8-2001,5:00:00 PM,Southern California Edison,California,WECC,"225, 159",130000,unknown
Ice-Snow Storm,2009,2-23-2009,2:38 a.m.,2-24-2009,1:46 p.m.,Central Maine Power Company,Southern Central and Western Maine,NPCC,N-A,131000,"severe weather, winter storm"
Severe Thunderstorms,2003,7-4-2003,9:00 a.m.,7-6-2003,4:00 p.m.,Consumers Energy,Lower Michigan Peninsula,ECAR,75-90,131000,"severe weather, thunderstorm"
Severe Thunderstorms,2008,8-2-2008,8:00 p.m.,8-3-2008,5:30 a.m.,Southern Company,Georgia and Alabama,SERC,400,131115,"severe weather, thunderstorm"
Transmission Equipment Failure,2009,3-1-2009,12:15 a.m.,3-1-2009,3:00 a.m.,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",WECC,250,132000,"equipment failure, transmission interruption"
High Winds,2009,2-12-2009,8:00 a.m.,2-15-2009,10:00 p.m.,Penelec,Western and North Eastern Pennsylvania,RFC,130,132000,"severe weather, wind"
Load Shedding,2005,7-2-2005,1:27 a.m.,7-2-2005,1:46 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,226,132290,load shedding
